"","Mouse_ID","Sex","Injury","Treatment","Timepoint","shannon_unique"
"1",810,"M","TBI","FMT","1dpi",3.92159566361711
"2",811,"M","TBI","FMT","1dpi",3.47778998210295
"3",812,"M","TBI","FMT","1dpi",3.53556850684937
"4",813,"M","TBI","FMT","1dpi",3.8167455095634
"5",814,"M","TBI","FMT","1dpi",4.2278747454129
"6",815,"M","TBI","Veh","1dpi",3.79201466242037
"7",816,"M","TBI","Veh","1dpi",4.14393975949796
"8",817,"M","TBI","Veh","1dpi",4.00510018164808
"9",818,"M","TBI","Veh","1dpi",4.09663901467652
"10",819,"M","Sham","FMT","1dpi",3.2938612953869
"11",820,"M","Sham","FMT","1dpi",3.67272368735113
"12",821,"M","Sham","FMT","1dpi",3.73666553765949
"13",822,"M","Sham","FMT","1dpi",3.96826539141749
"14",823,"M","Sham","Veh","1dpi",3.40045092103501
"15",824,"M","Sham","Veh","1dpi",2.91453943633478
"16",825,"M","Sham","Veh","1dpi",2.97435648566432
"17",826,"M","Sham","Veh","1dpi",2.74770163955112
"18",827,"F","TBI","FMT","1dpi",3.42728109092034
"19",828,"F","TBI","FMT","1dpi",3.83764299559185
"20",829,"F","TBI","FMT","1dpi",3.65546389791834
"21",830,"F","TBI","FMT","1dpi",4.1332375224482
"22",831,"F","TBI","FMT","1dpi",3.80752425482003
"23",832,"F","TBI","Veh","1dpi",3.67857478300215
"24",833,"F","TBI","Veh","1dpi",3.88087428545764
"25",834,"F","TBI","Veh","1dpi",3.6958486646301
"26",835,"F","TBI","Veh","1dpi",3.5010669105969
"27",836,"F","Sham","FMT","1dpi",3.93054081117543
"28",837,"F","Sham","FMT","1dpi",3.5415427661752
"29",838,"F","Sham","FMT","1dpi",3.55324701619206
"30",839,"F","Sham","FMT","1dpi",3.5116741879851
"31",840,"F","Sham","Veh","1dpi",4.19504544676935
"32",841,"F","Sham","Veh","1dpi",3.76167479725393
"33",842,"F","Sham","Veh","1dpi",3.62347494865071
"34",843,"F","Sham","Veh","1dpi",3.58681072968119
"35",810,"M","TBI","FMT","3dpi",3.73269031553834
"36",811,"M","TBI","FMT","3dpi",4.12418325151605
"37",812,"M","TBI","FMT","3dpi",4.03618972526232
"38",813,"M","TBI","FMT","3dpi",4.1796924803608
"39",814,"M","TBI","FMT","3dpi",3.64446236923299
"40",815,"M","TBI","Veh","3dpi",4.05483782335067
"41",816,"M","TBI","Veh","3dpi",3.89333732934832
"42",817,"M","TBI","Veh","3dpi",4.24363753259362
"43",818,"M","TBI","Veh","3dpi",3.75324185020775
"44",819,"M","Sham","FMT","3dpi",3.24785241740772
"45",820,"M","Sham","FMT","3dpi",3.71882416966403
"46",821,"M","Sham","FMT","3dpi",3.62592624340719
"47",822,"M","Sham","FMT","3dpi",4.32784962679297
"48",823,"M","Sham","Veh","3dpi",3.28547913502428
"49",824,"M","Sham","Veh","3dpi",3.55851077620528
"50",825,"M","Sham","Veh","3dpi",3.19143064685767
"51",826,"M","Sham","Veh","3dpi",2.95549811220944
"52",827,"F","TBI","FMT","3dpi",4.33751890616165
"53",828,"F","TBI","FMT","3dpi",4.22097447146923
"54",829,"F","TBI","FMT","3dpi",4.11470876834804
"55",830,"F","TBI","FMT","3dpi",4.13840081059615
"56",831,"F","TBI","FMT","3dpi",4.205490407441
"57",832,"F","TBI","Veh","3dpi",3.81947278555273
"58",833,"F","TBI","Veh","3dpi",4.08362766416478
"59",834,"F","TBI","Veh","3dpi",4.22999263596476
"60",835,"F","TBI","Veh","3dpi",4.10532013546759
"61",836,"F","Sham","FMT","3dpi",3.69087094638801
"62",837,"F","Sham","FMT","3dpi",3.54743804449427
"63",838,"F","Sham","FMT","3dpi",3.18893982479241
"64",839,"F","Sham","FMT","3dpi",3.42864095248956
"65",840,"F","Sham","Veh","3dpi",3.69607648099382
"66",841,"F","Sham","Veh","3dpi",3.86960937888697
"67",842,"F","Sham","Veh","3dpi",4.2509929864013
"68",843,"F","Sham","Veh","3dpi",3.68288979932541
"69",810,"M","TBI","FMT","Baseline",3.34146495963992
"70",811,"M","TBI","FMT","Baseline",3.50994960539705
"71",812,"M","TBI","FMT","Baseline",3.09217585563446
"72",813,"M","TBI","FMT","Baseline",3.35336164289226
"73",814,"M","TBI","FMT","Baseline",3.79913920007632
"74",815,"M","TBI","Veh","Baseline",3.39196634402249
"75",816,"M","TBI","Veh","Baseline",3.4368389795131
"76",817,"M","TBI","Veh","Baseline",3.20752756337889
"77",818,"M","TBI","Veh","Baseline",3.30042090337942
"78",819,"M","Sham","FMT","Baseline",3.0029488316179
"79",820,"M","Sham","FMT","Baseline",2.97584585551633
"80",821,"M","Sham","FMT","Baseline",3.4120243074165
"81",823,"M","Sham","Veh","Baseline",3.17456958783126
"82",824,"M","Sham","Veh","Baseline",3.00928759028001
"83",825,"M","Sham","Veh","Baseline",2.94944656405125
"84",826,"M","Sham","Veh","Baseline",3.23172288507819
"85",827,"F","TBI","FMT","Baseline",3.80129202983696
"86",828,"F","TBI","FMT","Baseline",3.21431326499999
"87",829,"F","TBI","FMT","Baseline",3.82072422183796
"88",830,"F","TBI","FMT","Baseline",3.34822391205756
"89",831,"F","TBI","FMT","Baseline",3.49106733599063
"90",832,"F","TBI","Veh","Baseline",3.99990650925784
"91",833,"F","TBI","Veh","Baseline",3.64566233911442
"92",834,"F","TBI","Veh","Baseline",3.70685668944507
"93",835,"F","TBI","Veh","Baseline",4.19727011198006
"94",836,"F","Sham","FMT","Baseline",3.50621534797257
"95",837,"F","Sham","FMT","Baseline",3.37391382456538
"96",838,"F","Sham","FMT","Baseline",3.5712179122646
"97",839,"F","Sham","FMT","Baseline",2.90824864393527
"98",840,"F","Sham","Veh","Baseline",3.55830317143527
"99",841,"F","Sham","Veh","Baseline",3.58251958777374
"100",842,"F","Sham","Veh","Baseline",3.61652649764338
"101",843,"F","Sham","Veh","Baseline",3.87892631119106
